laureate_id,name,category,year,birth_location,birth_lat,birth_lon,work_location,work_lat,work_lon,notes
literature_2018_979,Olga Tokarczuk,literature,2018,"Sulechów, Poland",52.092648,15.618116,"Wrocław, Poland",51.1263106,16.9781963,"Wroc_aw, Poland, and other locations in her home region of Silesia"
literature_2019_980,Peter Handke,literature,2019,"Griffen, Austria",46.704444,14.732778,"Graz, Austria",47.0708678,15.4382786,"Dsseldorf, Berlin, Kronberg, Paris, the U.S., and Salzburg, Chaville, a suburb southwest of Paris, France"
literature_2020_993,Louise Glück,literature,2020,"New York, NY, USA",40.715758,-74.0113,"Cambridge, MA, USA",42.3656347,-71.1040018,"Yale University in New Haven, Connecticut, and previously at Goddard College in Plainfield, Vermont. "
literature_2021_1004,Abdulrazak Gurnah,literature,2021,"Zanzibar, Tanzania",6.1357,39.3621,"Canterbury, England",51.2800275,1.0802533,
literature_2022_1017,Annie Ernaux,literature,2022,"Lillebonne, France",49.520833,0.5375,"Paris, France",48.8588897,2.320041,"Cergy-Pontoise, in Paris, France"
literature_2023_1032,Jon Fosse,literature,2023,"Haugesund, Norway",59.41015,5.275511,"Hainburg an der Donau, Austria",48.1466103,16.9422459,and south of France at Paul Claudel's castle
literature_2024_1042,Han Kang,literature,2024,"Gwangju, South Korea",35.165278,126.848611,"Seoul, South Korea",37.5666791,126.9782914,"childhood home city of Gwangju, South Korea, shortly before her family moved to Seoul, International Writing Program at the University of Iowa in 1998"
literature_2025_1056,László Krasznahorkai,literature,2025,"Gyula, Hungary",46.65,21.283333,"Budapest, Hungary",47.4813896,19.1460941,"born in Gyula and remote villages; then Berlin, New York, China, and Japan. "
medicine_1901_293,Emil Adolf von Behring,medicine,1901,"Hansdorf, Prussia",53.58266,19.656639,"Marburg, Germany",50.803393,8.766153,
medicine_1902_294,Ronald Ross,medicine,1902,"Almora, India",29.593431,79.654274,"Liverpool, United Kingdom",53.409188,-2.981257,
medicine_1903_295,Niels Ryberg Finsen,medicine,1903,"Thorshavn, Faroe Islands (Denmark)",62.010863,-6.774051,"Copenhagen, Denmark",55.678127,12.572532,
medicine_1904_296,Ivan Petrovich Pavlov,medicine,1904,"Ryazan, Russia",54.613102,39.704829,"St. Petersburg, Russia",59.956651,30.333547,
medicine_1905_297,Robert Koch,medicine,1905,"Clausthal, Germany",51.805,10.335556,"Berlin, Germany",52.522265,13.406852,
medicine_1906_298,Camillo Golgi,medicine,1906,"Corteno, Italy",46.166944,10.244444,"Pavia, Italy",45.184853,9.154865,
medicine_1906_299,Santiago Ramón y Cajal,medicine,1906,"Petilla de Aragón, Spain",42.461576,-1.092493,"Madrid, Spain",40.423203,-3.693965,
medicine_1907_300,Charles Louis Alphonse Laveran,medicine,1907,"Paris, France",48.860093,2.355954,"Paris, France",48.860093,2.355954,
medicine_1908_301,Ilya Ilyich Mechnikov,medicine,1908,"Kharkov, Russian Empire",49.9925,36.231111,"Paris, France",48.860093,2.355954,
medicine_1908_302,Paul Ehrlich,medicine,1908,"Strehlen, Prussia",50.783333,17.066667,"Göttingen, Germany",51.539385,9.913113,
medicine_1909_303,Emil Theodor Kocher,medicine,1909,"Bern, Switzerland",46.948471,7.445402,"Bern, Switzerland",46.948471,7.445402,
medicine_1910_304,Albrecht Kossel,medicine,1910,"Rostock, Mecklenburg",54.083333,12.133333,"Heidelberg, Germany",49.39922,8.680522,
medicine_1911_305,Allvar Gullstrand,medicine,1911,"Landskrona, Sweden",55.879416,12.837004,"Uppsala, Sweden",59.858503,17.638748,
medicine_1912_306,Alexis Carrel,medicine,1912,"Sainte-Foy-lès-Lyon, France",45.733611,4.8025,"New York, NY, USA",40.715758,-74.0113,
medicine_1913_307,Charles Robert Richet,medicine,1913,"Paris, France",48.860093,2.355954,"Paris, France",48.860093,2.355954,
medicine_1914_308,Robert Bárány,medicine,1914,"Vienna, Austria",48.207646,16.372793,"Vienna, Austria",48.207646,16.372793,
medicine_1919_309,Jules Bordet,medicine,1919,"Soignies, Belgium",50.846558,4.351697,"Brussels, Belgium",50.849243,4.354815,
medicine_1920_310,Schack August Steenberg Krogh,medicine,1920,"Grenå, Denmark",56.413333,10.875833,"Copenhagen, Denmark",55.678127,12.572532,
medicine_1922_311,Archibald Vivian Hill,medicine,1922,"Bristol, United Kingdom",51.455112,-2.584545,"London, United Kingdom",51.510235,-0.120852,
medicine_1922_312,Otto Fritz Meyerhof,medicine,1922,"Hanover, Germany",52.374444,9.738611,"Kiel, Germany",54.323168,10.121556,
medicine_1923_313,Frederick Grant Banting,medicine,1923,"Alliston, Canada",44.153947,-79.869022,"Toronto, Canada",43.654211,-79.384956,
medicine_1923_314,John James Rickard Macleod,medicine,1923,"Cluny, Scotland",46.429117,4.664877,"Toronto, Canada",43.654211,-79.384956,
medicine_1924_315,Willem Einthoven,medicine,1924,"Semarang, Java, Dutch East Indies",-7.004978,110.438095,"Leiden, the Netherlands",52.160787,4.495746,
medicine_1926_316,Johannes Andreas Grib Fibiger,medicine,1926,"Silkeborg, Denmark",56.166667,9.55,"Copenhagen, Denmark",55.678127,12.572532,
medicine_1927_317,Julius Wagner-Jauregg,medicine,1927,"Wels, Austria",48.15,14.016667,"Vienna, Austria",48.207646,16.372793,
medicine_1928_318,Charles Jules Henri Nicolle,medicine,1928,"Rouen, France",49.443056,1.1025,"Tunis, Tunisia",36.810714,10.181034,
medicine_1929_319,Christiaan Eijkman,medicine,1929,"Nijkerk, the Netherlands",52.090702,5.121563,"Utrecht, the Netherlands",52.090276,5.120942,
medicine_1929_320,Sir Frederick Gowland Hopkins,medicine,1929,"Eastbourne, United Kingdom",50.766389,0.286111,"Cambridge, United Kingdom",52.194605,0.135092,
medicine_1930_321,Karl Landsteiner,medicine,1930,"Vienna, Austrian Empire",48.207646,16.372793,"New York, NY, USA",40.715758,-74.0113,
medicine_1931_322,Otto Heinrich Warburg,medicine,1931,"Freiburg im Breisgau, Germany",47.995,7.85,"Berlin-Dahlem, Germany",52.453739,13.29313,
medicine_1932_324,Edgar Douglas Adrian,medicine,1932,"London, United Kingdom",51.510235,-0.120852,"Cambridge, United Kingdom",52.194605,0.135092,
medicine_1932_323,Sir Charles Scott Sherrington,medicine,1932,"London, United Kingdom",51.510235,-0.120852,"Oxford, United Kingdom",51.753363,-1.260979,
medicine_1933_325,Thomas Hunt Morgan,medicine,1933,"Lexington, KY, USA",38.029722,-84.494722,"Pasadena, CA, USA",34.150071,-118.142111,
medicine_1934_326,George Hoyt Whipple,medicine,1934,"Ashland, NH, USA",43.695271,-71.63074,"Rochester, NY, USA",43.156356,-77.599235,
medicine_1934_327,George Richards Minot,medicine,1934,"Boston, MA, USA",42.36042,-71.05681,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1934_328,William Parry Murphy,medicine,1934,"Stoughton, WI, USA",42.916946,-89.217894,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1935_329,Hans Spemann,medicine,1935,"Stuttgart, Württemberg",48.775924,9.182014,"Breisgau, Germany",47.999459,7.84517,
medicine_1936_331,Otto Loewi,medicine,1936,"Frankfurt-on-the-Main, Germany",50.107886,8.691488,"Graz, Austria",47.071923,15.443848,
medicine_1936_330,Sir Henry Hallett Dale,medicine,1936,"London, United Kingdom",51.510235,-0.120852,"London, United Kingdom",51.510235,-0.120852,
medicine_1937_332,Albert von Szent-Györgyi Nagyrápolt,medicine,1937,"Budapest, Austria-Hungary",47.497799,19.038285,"Szeged, Hungary",46.25293,20.141511,
medicine_1938_333,Corneille Jean François Heymans,medicine,1938,"Ghent, Belgium",51.04699,3.735154,"Ghent, Belgium",51.04699,3.735154,
medicine_1939_334,Gerhard Domagk,medicine,1939,"Lagow, Germany",52.334306,15.292694,"Munster, Germany",51.962665,7.615851,
medicine_1943_336,Edward Adelbert Doisy,medicine,1943,"Hume, IL, USA",39.796694,-87.868611,"St. Louis, MO, USA",38.628133,-90.212222,
medicine_1943_335,Henrik Carl Peter Dam,medicine,1943,"Copenhagen, Denmark",55.678127,12.572532,"Copenhagen, Denmark",55.678127,12.572532,
