laureate_id,name,category,year,birth_location,issue,enrichment_attempts,work_location_manual,notes
"literature_2000_734","Xingjian Gao","literature",2000,"Ganzhou, China","No affiliation data from any source","",,
"literature_2001_747","V. S. Naipaul","literature",2001,"Chaguanas, Trinidad and Tobago","No affiliation data from any source","",,
"literature_2002_761","Imre Kertész","literature",2002,"Budapest, Hungary","No affiliation data from any source","",,
"literature_2003_763","J. M. Coetzee","literature",2003,"Cape Town, South Africa","No affiliation data from any source","",,
"literature_2004_782","Elfriede Jelinek","literature",2004,"Mürzzuschlag, Austria","No affiliation data from any source","",,
"literature_2005_801","Harold Pinter","literature",2005,"London, United Kingdom","No affiliation data from any source","",,
"literature_2006_808","Orhan Pamuk","literature",2006,"Istanbul, Turkey","No affiliation data from any source","",,
"literature_2007_817","Doris Lessing","literature",2007,"Kermanshah, Persia (now Iran)","No affiliation data from any source","",,
"literature_2008_832","Jean-Marie Gustave Le Clézio","literature",2008,"Nice, France","No affiliation data from any source","",,
"literature_2009_844","Herta Müller","literature",2009,"Nitzkydorf, Banat, Romania","No affiliation data from any source","",,
"literature_2010_854","Mario Vargas Llosa","literature",2010,"Arequipa, Peru","No affiliation data from any source","",,
"literature_2011_868","Tomas Tranströmer","literature",2011,"Stockholm, Sweden","No affiliation data from any source","",,
"literature_2012_880","Mo Yan","literature",2012,"Gaomi, China","No affiliation data from any source","",,
"literature_2013_892","Alice Munro","literature",2013,"Wingham, Canada","No affiliation data from any source","",,
"literature_2014_912","Patrick Modiano","literature",2014,"Paris, France","No affiliation data from any source","",,
"literature_2015_924","Svetlana Alexievich","literature",2015,"Ivano-Frankivsk, Ukraine","No affiliation data from any source","",,
"literature_2016_937","Bob Dylan","literature",2016,"Duluth, MN, USA","No affiliation data from any source","",,
"literature_2017_947","Kazuo Ishiguro","literature",2017,"Nagasaki, Japan","No affiliation data from any source","",,
"literature_2018_979","Olga Tokarczuk","literature",2018,"Sulechów, Poland","No affiliation data from any source","",,
"literature_2019_980","Peter Handke","literature",2019,"Griffen, Austria","No affiliation data from any source","",,
"literature_2020_993","Louise Glück","literature",2020,"New York, NY, USA","No affiliation data from any source","",,
"literature_2021_1004","Abdulrazak Gurnah","literature",2021,"","No affiliation data from any source","",,
"literature_2022_1017","Annie Ernaux","literature",2022,"Lillebonne, France","No affiliation data from any source","",,
"literature_2023_1032","Jon Fosse","literature",2023,"Haugesund, Norway","No affiliation data from any source","",,
"literature_2024_1042","Kang Han","literature",2024,"Gwangju, South Korea","No affiliation data from any source","",,
"literature_2025_1056","László Krasznahorkai","literature",2025,"Gyula, Hungary","No affiliation data from any source","",,
"peace_1901_462","Henry Dunant","peace",1901,"Geneva, Switzerland","No affiliation data from any source","",,
"peace_1901_463","Frédéric Passy","peace",1901,"Paris, France","No affiliation data from any source","",,
"peace_1902_464","Élie Ducommun","peace",1902,"Geneva, Switzerland","No affiliation data from any source","",,
"peace_1902_465","Albert Gobat","peace",1902,"Tramelan, Switzerland","No affiliation data from any source","",,
"peace_1903_466","Randal Cremer","peace",1903,"Fareham, United Kingdom","No affiliation data from any source","",,
"peace_1904_467","Institute of International Law","peace",1904,"","No affiliation data from any source","",,
"peace_1905_468","Bertha von Suttner","peace",1905,"Prague, Austrian Empire (now Czech Republic)","No affiliation data from any source","",,
"peace_1906_470","Theodore Roosevelt","peace",1906,"New York, NY, USA","No affiliation data from any source","",,
"peace_1907_471","Ernesto Teodoro Moneta","peace",1907,"Milan, Austrian Empire (now Italy)","No affiliation data from any source","",,
"peace_1908_473","Klas Pontus Arnoldson","peace",1908,"Gothenburg, Sweden","No affiliation data from any source","",,
"peace_1908_474","Fredrik Bajer","peace",1908,"Næstved, Denmark","No affiliation data from any source","",,
"peace_1909_475","Auguste Beernaert","peace",1909,"Ostend, Belgium","No affiliation data from any source","",,
"peace_1909_476","Paul Henri d'Estournelles de Constant","peace",1909,"La Flèche, France","No affiliation data from any source","",,
"peace_1910_477","Permanent International Peace Bureau","peace",1910,"","No affiliation data from any source","",,
"peace_1911_478","Tobias Asser","peace",1911,"Amsterdam, the Netherlands","No affiliation data from any source","",,
"peace_1911_479","Alfred Fried","peace",1911,"Vienna, Austria","No affiliation data from any source","",,
"peace_1912_480","Elihu Root","peace",1912,"Clinton, NY, USA","No affiliation data from any source","",,
"peace_1913_481","Henri La Fontaine","peace",1913,"Brussels, Belgium","No affiliation data from any source","",,
"peace_1917_482","International Committee of the Red Cross","peace",1917,"","No affiliation data from any source","",,
"peace_1944_482","International Committee of the Red Cross","peace",1944,"","No affiliation data from any source","",,
"peace_1963_482","International Committee of the Red Cross","peace",1963,"","No affiliation data from any source","",,
"peace_1919_483","Woodrow Wilson","peace",1919,"Staunton, VA, USA","No affiliation data from any source","",,
"peace_1920_484","Léon Bourgeois","peace",1920,"Paris, France","No affiliation data from any source","",,
"peace_1921_485","Hjalmar Branting","peace",1921,"Stockholm, Sweden","No affiliation data from any source","",,
"peace_1921_486","Christian Lange","peace",1921,"Stavanger, Norway","No affiliation data from any source","",,
"peace_1922_487","Fridtjof Nansen","peace",1922,"Kristiania (now Oslo), Norway","No affiliation data from any source","",,
"peace_1925_488","Sir Austen Chamberlain","peace",1925,"Birmingham, United Kingdom","No affiliation data from any source","",,
"peace_1925_489","Charles G. Dawes","peace",1925,"Marietta, OH, USA","No affiliation data from any source","",,
"peace_1926_490","Aristide Briand","peace",1926,"Nantes, France","No affiliation data from any source","",,
"peace_1926_491","Gustav Stresemann","peace",1926,"Berlin, Germany","No affiliation data from any source","",,
"peace_1927_492","Ferdinand Buisson","peace",1927,"Paris, France","No affiliation data from any source","",,
"peace_1927_493","Ludwig Quidde","peace",1927,"Bremen, Germany","No affiliation data from any source","",,
"peace_1929_494","Frank B. Kellogg","peace",1929,"Potsdam, NY, USA","No affiliation data from any source","",,
"peace_1930_495","Nathan Söderblom","peace",1930,"Trönö, Sweden","No affiliation data from any source","",,
"peace_1931_496","Jane Addams","peace",1931,"Cedarville, IL, USA","No affiliation data from any source","",,
"peace_1933_498","Sir Norman Angell","peace",1933,"Holbeach, United Kingdom","No affiliation data from any source","",,
"peace_1934_499","Arthur Henderson","peace",1934,"Glasgow, Scotland","No affiliation data from any source","",,
"peace_1935_500","Carl von Ossietzky","peace",1935,"Hamburg, Germany","No affiliation data from any source","",,
"peace_1936_501","Carlos Saavedra Lamas","peace",1936,"Buenos Aires, Argentina","No affiliation data from any source","",,
"peace_1937_502","Robert Cecil","peace",1937,"London, United Kingdom","No affiliation data from any source","",,
"peace_1938_503","Nansen International Office for Refugees","peace",1938,"","No affiliation data from any source","",,
"peace_1945_505","Cordell Hull","peace",1945,"Olympus, TN, USA","No affiliation data from any source","",,
"peace_1946_506","Emily Greene Balch","peace",1946,"Jamaica Plain, MA (now Boston, MA), USA","No affiliation data from any source","",,
"peace_1946_507","John R. Mott","peace",1946,"Livingston Manor, NY, USA","No affiliation data from any source","",,
"peace_1947_508","Friends Service Council","peace",1947,"","No affiliation data from any source","",,
"peace_1947_509","American Friends Service Committee","peace",1947,"","No affiliation data from any source","",,
"peace_1949_510","John Boyd Orr","peace",1949,"Kilmaurs, Scotland","No affiliation data from any source","",,
"peace_1951_512","Léon Jouhaux","peace",1951,"Paris, France","No affiliation data from any source","",,
"peace_1952_513","Albert Schweitzer","peace",1952,"Kaysersberg, Germany (now France)","No affiliation data from any source","",,
"peace_1953_514","George C. Marshall","peace",1953,"Uniontown, PA, USA","No affiliation data from any source","",,
"peace_1954_515","Office of the United Nations High Commissioner for Refugees","peace",1954,"","No affiliation data from any source","",,
"peace_1981_515","Office of the United Nations High Commissioner for Refugees","peace",1981,"","No affiliation data from any source","",,
"peace_1957_516","Lester Bowles Pearson","peace",1957,"Toronto, Canada","No affiliation data from any source","",,
"peace_1958_517","Georges Pire","peace",1958,"Dinant, Belgium","No affiliation data from any source","",,
"peace_1959_518","Philip Noel-Baker","peace",1959,"London, United Kingdom","No affiliation data from any source","",,
"peace_1960_519","Albert Lutuli","peace",1960,"Bulawayo, Southern Rhodesia (now Zimbabwe)","No affiliation data from any source","",,
"peace_1961_520","Dag Hammarskjöld","peace",1961,"Jönköping, Sweden","No affiliation data from any source","",,
"peace_1963_523","League of Red Cross Societies","peace",1963,"","No affiliation data from any source","",,
"peace_1964_524","Martin Luther King Jr.","peace",1964,"Atlanta, GA, USA","No affiliation data from any source","",,
"peace_1965_525","United Nations Children's Fund","peace",1965,"","No affiliation data from any source","",,
"peace_1968_526","René Cassin","peace",1968,"Bayonne, France","No affiliation data from any source","",,
"peace_1969_527","International Labour Organization","peace",1969,"","No affiliation data from any source","",,
"peace_1970_528","Norman Borlaug","peace",1970,"Cresco, IA, USA","No affiliation data from any source","",,
"peace_1971_529","Willy Brandt","peace",1971,"Lübeck, Germany","No affiliation data from any source","",,
"peace_1973_530","Henry Kissinger","peace",1973,"Fürth, Germany","No affiliation data from any source","",,
"peace_1973_531","Le Duc Tho","peace",1973,"Nam Ha province, Vietnam","No affiliation data from any source","",,
"peace_1974_532","Seán MacBride","peace",1974,"Paris, France","No affiliation data from any source","",,
"peace_1974_533","Eisaku Satō","peace",1974,"Tabuse, Japan","No affiliation data from any source","",,
"peace_1975_534","Andrei Sakharov","peace",1975,"Moscow, Russia","No affiliation data from any source","",,
"peace_1976_535","Betty Williams","peace",1976,"Belfast, Northern Ireland","No affiliation data from any source","",,
"peace_1976_536","Mairead Corrigan","peace",1976,"Belfast, Northern Ireland","No affiliation data from any source","",,
"peace_1977_537","Amnesty International","peace",1977,"","No affiliation data from any source","",,
"peace_1978_538","Anwar al-Sadat","peace",1978,"Mit Abu al-Kawm, Egypt","No affiliation data from any source","",,
"peace_1978_539","Menachem Begin","peace",1978,"Brest Litovsk, Russian Empire (now Belarus)","No affiliation data from any source","",,
"peace_1979_540","Anjezë Gonxhe Bojaxhiu","peace",1979,"Uskup (now Skopje), Ottoman Empire (now North Macedonia)","No affiliation data from any source","",,
"peace_1980_541","Adolfo Pérez Esquivel","peace",1980,"Buenos Aires, Argentina","No affiliation data from any source","",,
"peace_1982_543","Alva Myrdal","peace",1982,"Uppsala, Sweden","No affiliation data from any source","",,
"peace_1982_544","Alfonso García Robles","peace",1982,"Zamora, Mexico","No affiliation data from any source","",,
"peace_1983_545","Lech Wałęsa","peace",1983,"Popowo, Poland","No affiliation data from any source","",,
"peace_1984_546","Desmond Tutu","peace",1984,"Klerksdorp, South Africa","No affiliation data from any source","",,
"peace_1985_547","International Physicians for the Prevention of Nuclear War","peace",1985,"","No affiliation data from any source","",,
"peace_1986_548","Elie Wiesel","peace",1986,"Sighet, Romania","No affiliation data from any source","",,
"peace_1987_549","Oscar Arias Sánchez","peace",1987,"Heredia, Costa Rica","No affiliation data from any source","",,
"peace_1988_550","United Nations Peacekeeping Forces","peace",1988,"","No affiliation data from any source","",,
"peace_1989_551","Lhamo Thondup","peace",1989,"Taktser, Tibet (now China)","No affiliation data from any source","",,
"peace_1990_552","Mikhail Gorbachev","peace",1990,"Privolnoye, USSR (now Russia)","No affiliation data from any source","",,
"peace_1991_553","Aung San Suu Kyi","peace",1991,"Rangoon (now Yangon), Burma (now Myanmar)","No affiliation data from any source","",,
"peace_1992_554","Rigoberta Menchú Tum","peace",1992,"Aldea Chimel, Guatemala","No affiliation data from any source","",,
"peace_1993_555","Nelson Mandela","peace",1993,"Mvezo, South Africa","No affiliation data from any source","",,
"peace_1993_556","F.W. de Klerk","peace",1993,"Johannesburg, South Africa","No affiliation data from any source","",,
"peace_1994_557","Yasser Arafat","peace",1994,"Cairo, Egypt","No affiliation data from any source","",,
"peace_1994_558","Shimon Peres","peace",1994,"Vishneva, Poland (now Belarus)","No affiliation data from any source","",,
"peace_1994_559","Yitzhak Rabin","peace",1994,"Jerusalem, British Mandate of Palestine (now Israel)","No affiliation data from any source","",,
"peace_1995_560","Joseph Rotblat","peace",1995,"Warsaw, Russian Empire (now Poland)","No affiliation data from any source","",,
"peace_1995_561","Pugwash Conferences on Science and World Affairs","peace",1995,"","No affiliation data from any source","",,
"peace_1996_562","Carlos Filipe Ximenes Belo","peace",1996,"Wailacama, East Timor","No affiliation data from any source","",,
"peace_1996_563","José Ramos-Horta","peace",1996,"Dili, East Timor","No affiliation data from any source","",,
"peace_1997_564","International Campaign to Ban Landmines","peace",1997,"","No affiliation data from any source","",,
"peace_1997_565","Jody Williams","peace",1997,"Rutland, VT, USA","No affiliation data from any source","",,
"peace_1998_566","John Hume","peace",1998,"Londonderry, Northern Ireland","No affiliation data from any source","",,
"peace_1998_567","David Trimble","peace",1998,"Belfast, Northern Ireland","No affiliation data from any source","",,
"peace_1999_568","Doctors Without Borders","peace",1999,"","No affiliation data from any source","",,
"peace_2000_725","Kim Dae-jung","peace",2000,"Mokpo, Korea (now South Korea)","No affiliation data from any source","",,
"peace_2001_748","United Nations","peace",2001,"","No affiliation data from any source","",,
"peace_2001_749","Kofi Annan","peace",2001,"Kumasi, Gold Coast (now Ghana)","No affiliation data from any source","",,
"peace_2002_762","Jimmy Carter","peace",2002,"Plains, GA, USA","No affiliation data from any source","",,
"peace_2003_773","Shirin Ebadi","peace",2003,"Hamadan, Iran","No affiliation data from any source","",,
"peace_2004_783","Wangari Maathai","peace",2004,"Nyeri, Kenya","No affiliation data from any source","",,
"peace_2005_797","International Atomic Energy Agency","peace",2005,"","No affiliation data from any source","",,
"peace_2005_798","Mohamed ElBaradei","peace",2005,"Cairo, Egypt","No affiliation data from any source","",,
"peace_2006_809","Muhammad Yunus","peace",2006,"Chittagong, British India (now Bangladesh)","No affiliation data from any source","",,
"peace_2006_810","Grameen Bank","peace",2006,"","No affiliation data from any source","",,
"peace_2007_818","Intergovernmental Panel on Climate Change","peace",2007,"","No affiliation data from any source","",,
"peace_2007_819","Al Gore","peace",2007,"Washington, D.C., USA","No affiliation data from any source","",,
"peace_2008_833","Martti Ahtisaari","peace",2008,"Viipuri (now Vyborg), Finland","No affiliation data from any source","",,
"peace_2009_845","Barack Obama","peace",2009,"Honolulu, HI, USA","No affiliation data from any source","",,
"peace_2010_855","Xiaobo Liu","peace",2010,"Changchun, China","No affiliation data from any source","",,
"peace_2011_869","Ellen Johnson Sirleaf","peace",2011,"Monrovia, Liberia","No affiliation data from any source","",,
"peace_2011_870","Leymah Gbowee","peace",2011,"Monrovia, Liberia","No affiliation data from any source","",,
"peace_2011_871","Tawakkol Karman","peace",2011,"Ta'izz, Yemen","No affiliation data from any source","",,
"peace_2012_881","European Union","peace",2012,"","No affiliation data from any source","",,
"peace_2013_893","Organisation for the Prohibition of Chemical Weapons","peace",2013,"","No affiliation data from any source","",,
"peace_2014_913","Kailash Satyarthi","peace",2014,"Vidisha, India","No affiliation data from any source","",,
"peace_2014_914","Malala Yousafzai","peace",2014,"Mingora, Pakistan","No affiliation data from any source","",,
"peace_2015_925","National Dialogue Quartet","peace",2015,"","No affiliation data from any source","",,
"peace_2016_934","Juan Manuel Santos","peace",2016,"Bogotá, Colombia","No affiliation data from any source","",,
"peace_2017_948","International Campaign to Abolish Nuclear Weapons","peace",2017,"","No affiliation data from any source","",,
"peace_2018_966","Denis Mukwege","peace",2018,"Bukavu, Belgian Congo (now Democratic Republic of the Congo)","No affiliation data from any source","",,
"peace_2018_967","Nadia Murad","peace",2018,"Kojo, Iraq","No affiliation data from any source","",,
"peace_2019_981","Abiy Ahmed Ali","peace",2019,"Beshasha, Ethiopia","No affiliation data from any source","",,
"peace_2020_994","World Food Programme","peace",2020,"","No affiliation data from any source","",,
"peace_2021_1005","Maria Ressa","peace",2021,"Manila, Philippines","No affiliation data from any source","",,
"peace_2021_1006","Dmitry Muratov","peace",2021,"Kubyshev (now Samara), USSR (now Russia)","No affiliation data from any source","",,
"peace_2022_1018","Ales Bialiatski","peace",2022,"Vyartsilya, Karelia, Russia","No affiliation data from any source","",,
"peace_2022_1019","Memorial","peace",2022,"","No affiliation data from any source","",,
"peace_2022_1020","Center for Civil Liberties","peace",2022,"","No affiliation data from any source","",,
"peace_2023_1033","Narges Mohammadi","peace",2023,"Zanjan, Iran","No affiliation data from any source","",,
"peace_2024_1043","Nihon Hidankyo","peace",2024,"","No affiliation data from any source","",,
"peace_2025_1057","Maria Corina Machado","peace",2025,"Venezuela","No affiliation data from any source","",,
"economics_1974_684","Gunnar Myrdal","economics",1974,"Skattungbyn, Sweden","No affiliation data from any source","",,
"economics_1974_685","Friedrich von Hayek","economics",1974,"Vienna, Austria","No affiliation data from any source","",,
